step,displacement,residual_force_abs
0,0.0,0.0
1,1e-05,0.0
2,2e-05,0.0
3,3.0000000000000004e-05,0.0
4,4e-05,0.0
5,5e-05,0.0
6,6.000000000000001e-05,0.0
7,7.000000000000001e-05,0.0
8,8e-05,0.0
9,9e-05,0.0
10,0.0001,0.0
11,0.00011,0.0
12,0.00012000000000000002,0.0
13,0.00013000000000000002,0.0
14,0.00014000000000000001,0.0
15,0.00015000000000000001,0.0
16,0.00016,0.0
17,0.00017,0.0
18,0.00018,0.0
19,0.00019,0.0
20,0.0002,0.0
21,0.00021,0.0
22,0.00022,0.0
23,0.00023,0.0
24,0.00024000000000000003,0.0
25,0.00025,0.0
26,0.00026000000000000003,0.0
27,0.00027,0.0
28,0.00028000000000000003,0.0
29,0.00029,0.0
30,0.00030000000000000003,0.0
31,0.00031,0.0
32,0.00032,0.0
33,0.00033000000000000005,0.0
34,0.00034,0.0
35,0.00035000000000000005,0.0
36,0.00036,0.0
37,0.00037000000000000005,0.0
38,0.00038,0.0
39,0.00039000000000000005,0.0
40,0.0004,0.0
41,0.00041000000000000005,0.0
42,0.00042,0.0
43,0.00043000000000000004,0.0
44,0.00044,0.0
45,0.00045000000000000004,0.0
46,0.00046,0.0
47,0.00047000000000000004,0.0
48,0.00048000000000000007,0.0
49,0.0004900000000000001,0.0
50,0.0005,0.0
51,0.00051,0.0
52,0.0005200000000000001,0.0
53,0.0005300000000000001,0.0
54,0.00054,0.0
55,0.00055,0.0
56,0.0005600000000000001,0.0
57,0.0005700000000000001,0.0
58,0.00058,0.0
59,0.00059,0.0
60,0.0006000000000000001,0.0
61,0.0006100000000000001,0.0
62,0.00062,0.0
63,0.00063,0.0
64,0.00064,0.0
65,0.0006500000000000001,0.0
66,0.0006600000000000001,0.0
67,0.00067,0.0
68,0.00068,0.0
69,0.0006900000000000001,0.0
70,0.0007000000000000001,0.0
71,0.00071,0.0
72,0.00072,0.0
73,0.0007300000000000001,0.0
74,0.0007400000000000001,0.0
75,0.00075,0.0
76,0.00076,0.0
77,0.0007700000000000001,0.0
78,0.0007800000000000001,0.0
79,0.00079,0.0
80,0.0008,0.0
81,0.0008100000000000001,0.0
82,0.0008200000000000001,0.0
83,0.0008300000000000001,0.0
84,0.00084,0.0
85,0.0008500000000000001,0.0
86,0.0008600000000000001,0.0
87,0.0008700000000000001,0.0
88,0.00088,0.0
89,0.0008900000000000001,0.0
90,0.0009000000000000001,0.0
91,0.0009100000000000001,0.0
92,0.00092,0.0
93,0.00093,0.0
94,0.0009400000000000001,0.0
95,0.0009500000000000001,0.0
96,0.0009600000000000001,0.0
97,0.00097,0.0
98,0.0009800000000000002,0.0
99,0.00099,0.0
100,0.001,0.0
101,0.00101,0.0
102,0.00102,0.0
103,0.00103,0.0
104,0.0010400000000000001,0.0
105,0.0010500000000000002,0.0
106,0.0010600000000000002,0.0
107,0.00107,0.0
108,0.00108,0.0
109,0.00109,0.0
110,0.0011,0.0
111,0.00111,0.0
112,0.0011200000000000001,0.0
113,0.0011300000000000001,0.0
114,0.0011400000000000002,0.0
115,0.0011500000000000002,0.0
116,0.00116,0.0
117,0.00117,0.0
118,0.00118,0.0
119,0.00119,0.0
120,0.0012000000000000001,0.0
121,0.0012100000000000001,0.0
122,0.0012200000000000002,0.0
123,0.0012300000000000002,0.0
124,0.00124,0.0
125,0.00125,0.0
126,0.00126,0.0
127,0.00127,0.0
128,0.00128,0.0
129,0.0012900000000000001,0.0
130,0.0013000000000000002,0.0
131,0.0013100000000000002,0.0
132,0.0013200000000000002,0.0
133,0.00133,0.0
134,0.00134,0.0
135,0.00135,0.0
136,0.00136,0.0
137,0.0013700000000000001,0.0
138,0.0013800000000000002,0.0
139,0.0013900000000000002,0.0
140,0.0014000000000000002,0.0
141,0.00141,0.0
142,0.00142,0.0
143,0.00143,0.0
144,0.00144,0.0
145,0.0014500000000000001,0.0
146,0.0014600000000000001,0.0
147,0.0014700000000000002,0.0
148,0.0014800000000000002,0.0
149,0.0014900000000000002,0.0
150,0.0015,0.0
151,0.00151,0.0
152,0.00152,0.0
153,0.0015300000000000001,0.0
154,0.0015400000000000001,0.0
155,0.0015500000000000002,0.0
156,0.0015600000000000002,0.0
157,0.0015700000000000002,0.0
158,0.00158,0.0
159,0.00159,0.0
160,0.0016,0.0
161,0.00161,0.0
162,0.0016200000000000001,0.0
163,0.0016300000000000002,0.0
164,0.0016400000000000002,0.0
165,0.0016500000000000002,0.0
166,0.0016600000000000002,0.0
167,0.00167,0.0
168,0.00168,0.0
169,0.00169,0.0
170,0.0017000000000000001,0.0
171,0.0017100000000000001,0.0
172,0.0017200000000000002,0.0
173,0.0017300000000000002,0.0
174,0.0017400000000000002,0.0
175,0.00175,0.0
176,0.00176,0.0
177,0.00177,0.0
